UID	PID	PPID	LWP	C	NLWP	%CPU	%MEM	VSZ	RSS	TTY	STAT	START	TIME	COMMAND
root	97	2	97	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[ksoftirqd/7]
root	98	2	98	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/7:0-i915-unordered]
root	99	2	99	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/7:0H-events_highpri]
root	100	2	100	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[cpuhp/9]
root	101	2	101	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[idle_inject/9]
root	102	2	102	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[migration/9]
root	103	2	103	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[ksoftirqd/9]
root	104	2	104	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/9:0-events]
root	105	2	105	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/9:0H-events_highpri]
root	106	2	106	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[cpuhp/11]
root	107	2	107	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[idle_inject/11]
root	108	2	108	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[migration/11]
root	109	2	109	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[ksoftirqd/11]
root	110	2	110	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/11:0-mm_percpu_wq]
root	111	2	111	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/11:0H-events_highpri]
root	112	2	112	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[kdevtmpfs]
root	113	2	113	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-inet_frag_wq]
root	114	2	114	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[rcu_tasks_kthread]
root	115	2	115	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[rcu_tasks_rude_kthread]
root	116	2	116	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[rcu_tasks_trace_kthread]
root	117	2	117	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[kauditd]
root	118	2	118	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[oom_reaper]
root	119	2	119	0	1	0.7	0.0	0	0	?	I	12:10	0:00	[kworker/u64:2-btrfs-compressed-write]
root	120	2	120	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-writeback]
root	121	2	121	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[kcompactd0]
root	122	2	122	0	1	0.0	0.0	0	0	?	SN	12:10	0:00	[ksmd]
root	123	2	123	0	1	0.0	0.0	0	0	?	SN	12:10	0:00	[khugepaged]
root	124	2	124	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-kblockd]
root	125	2	125	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-blkcg_punt_bio]
root	126	2	126	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-kintegrityd]
root	127	2	127	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/12:1-i915-unordered]
root	128	2	128	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[irq/9-acpi]
root	129	2	129	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/15:1-mm_percpu_wq]
root	130	2	130	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-tpm_dev_wq]
root	131	2	131	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-ata_sff]
root	132	2	132	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-md_bitmap]
root	133	2	133	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-md]
root	134	2	134	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-edac-poller]
root	135	2	135	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-devfreq_wq]
root	136	2	136	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[watchdogd]
root	137	2	137	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/14:1-cgroup_free]
root	138	2	138	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-quota_events_unbound]
root	139	2	139	0	1	0.3	0.0	0	0	?	I	12:10	0:00	[kworker/13:1-mm_percpu_wq]
root	140	2	140	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/13:1H-i915_cleanup]
root	141	2	141	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[kswapd0]
root	142	2	142	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-cryptd]
root	145	2	145	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-kthrotld]
root	146	2	146	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[irq/120-pciehp]
root	147	2	147	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/4:1-events_power_efficient]
root	148	2	148	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-acpi_thermal_pm]
root	149	2	149	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[hwrng]
root	154	2	154	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[scsi_eh_0]
root	155	2	155	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-scsi_tmf_0]
root	156	2	156	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[scsi_eh_1]
root	157	2	157	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-scsi_tmf_1]
root	158	2	158	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[scsi_eh_2]
root	159	2	159	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-scsi_tmf_2]
root	160	2	160	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[scsi_eh_3]
root	161	2	161	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/2:1-events]
root	162	2	162	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-scsi_tmf_3]
root	163	2	163	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[scsi_eh_4]
root	164	2	164	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-scsi_tmf_4]
root	165	2	165	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[scsi_eh_5]
root	166	2	166	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-scsi_tmf_5]
root	167	2	167	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[scsi_eh_6]
root	168	2	168	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-scsi_tmf_6]
root	169	2	169	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[scsi_eh_7]
root	170	2	170	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-scsi_tmf_7]
root	171	2	171	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/u64:3-btrfs-endio]
root	172	2	172	0	1	0.4	0.0	0	0	?	I	12:10	0:00	[kworker/u64:4-btrfs-endio-write]
root	173	2	173	0	1	0.6	0.0	0	0	?	I	12:10	0:00	[kworker/u64:5-events_unbound]
root	174	2	174	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/u64:6-events_unbound]
root	175	2	175	0	1	0.3	0.0	0	0	?	I	12:10	0:00	[kworker/u64:7-btrfs-endio-write]
root	176	2	176	0	1	0.1	0.0	0	0	?	I	12:10	0:00	[kworker/u64:8-btrfs-compressed-write]
root	177	2	177	0	1	0.6	0.0	0	0	?	I	12:10	0:00	[kworker/u64:9-btrfs-compressed-write]
root	178	2	178	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/u64:10-events_unbound]
root	179	2	179	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/1:1-cgroup_free]
root	180	2	180	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-hfi-updates]
root	181	2	181	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-dm_bufio_cache]
root	182	2	182	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-mld]
root	183	2	183	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-ipv6_addrconf]
root	184	2	184	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/2:1H-kblockd]
root	185	2	185	0	1	0.3	0.0	0	0	?	I	12:10	0:00	[kworker/u64:11-events_unbound]
root	186	2	186	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/R-kstrp]
root	187	2	187	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/3:1-i915-unordered]
root	188	2	188	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/6:1-i915-unordered]
root	189	2	189	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/10:1-events]
root	190	2	190	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/5:1-events]
